Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model 1]	Parameter Value[Column type 1]	Parameter Value[Guard column]	Parameter Value[Column model 2]	Parameter Value[Column type 2]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
plasma_ssa_049	Extraction	Dilution of 1:140	None	plasma_ssa_049	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_049	FILES/RAW_FILES/plasma_ssa_049.d.zip	Data transformation	plasma_ssa_049		Metabolite identification	plasma_ssa_049	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_050	Extraction	Dilution of 1:140	None	plasma_ssa_050	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_050	FILES/RAW_FILES/plasma_ssa_050.d.zip	Data transformation	plasma_ssa_050		Metabolite identification	plasma_ssa_050	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_051	Extraction	Dilution of 1:140	None	plasma_ssa_051	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_051	FILES/RAW_FILES/plasma_ssa_051.d.zip	Data transformation	plasma_ssa_051		Metabolite identification	plasma_ssa_051	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_052	Extraction	Dilution of 1:140	None	plasma_ssa_052	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_052	FILES/RAW_FILES/plasma_ssa_052.d.zip	Data transformation	plasma_ssa_052		Metabolite identification	plasma_ssa_052	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_053	Extraction	Dilution of 1:140	None	plasma_ssa_053	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_053	FILES/RAW_FILES/plasma_ssa_053.d.zip	Data transformation	plasma_ssa_053		Metabolite identification	plasma_ssa_053	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_054	Extraction	Dilution of 1:140	None	plasma_ssa_054	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_054	FILES/RAW_FILES/plasma_ssa_054.d.zip	Data transformation	plasma_ssa_054		Metabolite identification	plasma_ssa_054	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_055	Extraction	Dilution of 1:140	None	plasma_ssa_055	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_055	FILES/RAW_FILES/plasma_ssa_055.d.zip	Data transformation	plasma_ssa_055		Metabolite identification	plasma_ssa_055	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_056	Extraction	Dilution of 1:140	None	plasma_ssa_056	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_056	FILES/RAW_FILES/plasma_ssa_056.d.zip	Data transformation	plasma_ssa_056		Metabolite identification	plasma_ssa_056	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_057	Extraction	Dilution of 1:140	None	plasma_ssa_057	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_057	FILES/RAW_FILES/plasma_ssa_057.d.zip	Data transformation	plasma_ssa_057		Metabolite identification	plasma_ssa_057	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_058	Extraction	Dilution of 1:140	None	plasma_ssa_058	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_058	FILES/RAW_FILES/plasma_ssa_058.d.zip	Data transformation	plasma_ssa_058		Metabolite identification	plasma_ssa_058	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_059	Extraction	Dilution of 1:140	None	plasma_ssa_059	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_059	FILES/RAW_FILES/plasma_ssa_059.d.zip	Data transformation	plasma_ssa_059		Metabolite identification	plasma_ssa_059	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_060	Extraction	Dilution of 1:140	None	plasma_ssa_060	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_060	FILES/RAW_FILES/plasma_ssa_060.d.zip	Data transformation	plasma_ssa_060		Metabolite identification	plasma_ssa_060	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_061	Extraction	Dilution of 1:140	None	plasma_ssa_061	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_061	FILES/RAW_FILES/plasma_ssa_061.d.zip	Data transformation	plasma_ssa_061		Metabolite identification	plasma_ssa_061	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_062	Extraction	Dilution of 1:140	None	plasma_ssa_062	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_062	FILES/RAW_FILES/plasma_ssa_062.d.zip	Data transformation	plasma_ssa_062		Metabolite identification	plasma_ssa_062	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_063	Extraction	Dilution of 1:140	None	plasma_ssa_063	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_063	FILES/RAW_FILES/plasma_ssa_063.d.zip	Data transformation	plasma_ssa_063		Metabolite identification	plasma_ssa_063	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_064	Extraction	Dilution of 1:140	None	plasma_ssa_064	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_064	FILES/RAW_FILES/plasma_ssa_064.d.zip	Data transformation	plasma_ssa_064		Metabolite identification	plasma_ssa_064	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_065	Extraction	Dilution of 1:140	None	plasma_ssa_065	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_065	FILES/RAW_FILES/plasma_ssa_065.d.zip	Data transformation	plasma_ssa_065		Metabolite identification	plasma_ssa_065	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_066	Extraction	Dilution of 1:140	None	plasma_ssa_066	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_066	FILES/RAW_FILES/plasma_ssa_066.d.zip	Data transformation	plasma_ssa_066		Metabolite identification	plasma_ssa_066	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_067	Extraction	Dilution of 1:140	None	plasma_ssa_067	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_067	FILES/RAW_FILES/plasma_ssa_067.d.zip	Data transformation	plasma_ssa_067		Metabolite identification	plasma_ssa_067	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_068	Extraction	Dilution of 1:140	None	plasma_ssa_068	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_068	FILES/RAW_FILES/plasma_ssa_068.d.zip	Data transformation	plasma_ssa_068		Metabolite identification	plasma_ssa_068	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_069	Extraction	Dilution of 1:140	None	plasma_ssa_069	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_069	FILES/RAW_FILES/plasma_ssa_069.d.zip	Data transformation	plasma_ssa_069		Metabolite identification	plasma_ssa_069	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_070	Extraction	Dilution of 1:140	None	plasma_ssa_070	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_070	FILES/RAW_FILES/plasma_ssa_070.d.zip	Data transformation	plasma_ssa_070		Metabolite identification	plasma_ssa_070	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_071	Extraction	Dilution of 1:140	None	plasma_ssa_071	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_071	FILES/RAW_FILES/plasma_ssa_071.d.zip	Data transformation	plasma_ssa_071		Metabolite identification	plasma_ssa_071	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_072	Extraction	Dilution of 1:140	None	plasma_ssa_072	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_072	FILES/RAW_FILES/plasma_ssa_072.d.zip	Data transformation	plasma_ssa_072		Metabolite identification	plasma_ssa_072	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_073	Extraction	Dilution of 1:140	None	plasma_ssa_073	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_073	FILES/RAW_FILES/plasma_ssa_073.d.zip	Data transformation	plasma_ssa_073		Metabolite identification	plasma_ssa_073	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_074	Extraction	Dilution of 1:140	None	plasma_ssa_074	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_074	FILES/RAW_FILES/plasma_ssa_074.d.zip	Data transformation	plasma_ssa_074		Metabolite identification	plasma_ssa_074	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_075	Extraction	Dilution of 1:140	None	plasma_ssa_075	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_075	FILES/RAW_FILES/plasma_ssa_075.d.zip	Data transformation	plasma_ssa_075		Metabolite identification	plasma_ssa_075	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_076	Extraction	Dilution of 1:140	None	plasma_ssa_076	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_076	FILES/RAW_FILES/plasma_ssa_076.d.zip	Data transformation	plasma_ssa_076		Metabolite identification	plasma_ssa_076	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_077	Extraction	Dilution of 1:140	None	plasma_ssa_077	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_077	FILES/RAW_FILES/plasma_ssa_077.d.zip	Data transformation	plasma_ssa_077		Metabolite identification	plasma_ssa_077	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_078	Extraction	Dilution of 1:140	None	plasma_ssa_078	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_078	FILES/RAW_FILES/plasma_ssa_078.d.zip	Data transformation	plasma_ssa_078		Metabolite identification	plasma_ssa_078	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_079	Extraction	Dilution of 1:140	None	plasma_ssa_079	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_079	FILES/RAW_FILES/plasma_ssa_079.d.zip	Data transformation	plasma_ssa_079		Metabolite identification	plasma_ssa_079	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_081	Extraction	Dilution of 1:140	None	plasma_ssa_081	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_081	FILES/RAW_FILES/plasma_ssa_081.d.zip	Data transformation	plasma_ssa_081		Metabolite identification	plasma_ssa_081	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_082	Extraction	Dilution of 1:140	None	plasma_ssa_082	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_082	FILES/RAW_FILES/plasma_ssa_082.d.zip	Data transformation	plasma_ssa_082		Metabolite identification	plasma_ssa_082	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_083	Extraction	Dilution of 1:140	None	plasma_ssa_083	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_083	FILES/RAW_FILES/plasma_ssa_083.d.zip	Data transformation	plasma_ssa_083		Metabolite identification	plasma_ssa_083	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_084	Extraction	Dilution of 1:140	None	plasma_ssa_084	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_084	FILES/RAW_FILES/plasma_ssa_084.d.zip	Data transformation	plasma_ssa_084		Metabolite identification	plasma_ssa_084	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_085	Extraction	Dilution of 1:140	None	plasma_ssa_085	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_085	FILES/RAW_FILES/plasma_ssa_085.d.zip	Data transformation	plasma_ssa_085		Metabolite identification	plasma_ssa_085	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_ssa_086	Extraction	Dilution of 1:140	None	plasma_ssa_086	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_ssa_086	FILES/RAW_FILES/plasma_ssa_086.d.zip	Data transformation	plasma_ssa_086		Metabolite identification	plasma_ssa_086	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
