Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model 1]	Parameter Value[Column type 1]	Parameter Value[Guard column]	Parameter Value[Column model 2]	Parameter Value[Column type 2]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
plasma_crp_32	Extraction	Dilution of 1:140	None	plasma_crp_32	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_crp_32	FILES/RAW_FILES/plasma_crp_32.d.zip	Data transformation	plasma_crp_32		Metabolite identification	plasma_crp_32	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_crp_35	Extraction	Dilution of 1:140	None	plasma_crp_35	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_crp_35	FILES/RAW_FILES/plasma_crp_35.d.zip	Data transformation	plasma_crp_35		Metabolite identification	plasma_crp_35	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_crp_36	Extraction	Dilution of 1:140	None	plasma_crp_36	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_crp_36	FILES/RAW_FILES/plasma_crp_36.d.zip	Data transformation	plasma_crp_36		Metabolite identification	plasma_crp_36	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_crp_37	Extraction	Dilution of 1:140	None	plasma_crp_37	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_crp_37	FILES/RAW_FILES/plasma_crp_37.d.zip	Data transformation	plasma_crp_37		Metabolite identification	plasma_crp_37	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_crp_40	Extraction	Dilution of 1:140	None	plasma_crp_40	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_crp_40	FILES/RAW_FILES/plasma_crp_40.d.zip	Data transformation	plasma_crp_40		Metabolite identification	plasma_crp_40	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_crp_41	Extraction	Dilution of 1:140	None	plasma_crp_41	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_crp_41	FILES/RAW_FILES/plasma_crp_41.d.zip	Data transformation	plasma_crp_41		Metabolite identification	plasma_crp_41	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_crp_42	Extraction	Dilution of 1:140	None	plasma_crp_42	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_crp_42	FILES/RAW_FILES/plasma_crp_42.d.zip	Data transformation	plasma_crp_42		Metabolite identification	plasma_crp_42	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_crp_43	Extraction	Dilution of 1:140	None	plasma_crp_43	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_crp_43	FILES/RAW_FILES/plasma_crp_43.d.zip	Data transformation	plasma_crp_43		Metabolite identification	plasma_crp_43	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_crp_44	Extraction	Dilution of 1:140	None	plasma_crp_44	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_crp_44	FILES/RAW_FILES/plasma_crp_44.d.zip	Data transformation	plasma_crp_44		Metabolite identification	plasma_crp_44	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_crp_47	Extraction	Dilution of 1:140	None	plasma_crp_47	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_crp_47	FILES/RAW_FILES/plasma_crp_47.d.zip	Data transformation	plasma_crp_47		Metabolite identification	plasma_crp_47	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
